Location,Time,Direction,VehicleType,Speed
Nakkila,2018-04-01 00:38:01,2,passenger_car,85
Vihti,2018-04-01 00:38:14,1,passenger_car,132
Pori,2018-04-01 00:38:29,1,passenger_car,104
Nakkila,2018-04-01 00:38:29,1,passenger_car,76
Vihti,2018-04-01 00:38:52,1,passenger_car,99
Pori,2018-04-01 00:38:53,1,passenger_car,118
Pori,2018-04-01 00:39:00,1,passenger_car,96
Vihti,2018-04-01 00:39:18,2,passenger_car,100
Pori,2018-04-01 00:39:24,1,passenger_car,98
Nakkila,2018-04-01 00:39:26,1,passenger_car,76
Vihti,2018-04-01 00:39:37,1,passenger_car,97
Pori,2018-04-01 00:39:38,1,passenger_car,103
Pori,2018-04-01 00:39:41,1,passenger_car,98
Vihti,2018-04-01 00:39:43,2,passenger_car,97
Karkkila,2018-04-01 00:39:48,2,passenger_car,86
Nakkila,2018-04-01 00:39:54,1,passenger_car,76
Pori,2018-04-01 00:40:10,2,passenger_car,86
Vihti,2018-04-01 00:40:30,1,passenger_car,98
Nakkila,2018-04-01 00:40:39,1,passenger_car,69
Pori,2018-04-01 00:40:41,2,passenger_car,113
Vihti,2018-04-01 00:40:48,2,passenger_car,96
Pori,2018-04-01 00:40:54,2,passenger_car,101
Nakkila,2018-04-01 00:41:04,1,passenger_car,76
Pori,2018-04-01 00:41:10,1,passenger_car,95
Karkkila,2018-04-01 00:41:14,1,passenger_car,91
Pori,2018-04-01 00:41:36,1,passenger_car,82
Pori,2018-04-01 00:41:40,2,passenger_car,110
Karkkila,2018-04-01 00:42:25,1,passenger_car,100
Pori,2018-04-01 00:42:26,1,passenger_car,104
Pori,2018-04-01 00:42:28,2,passenger_car,93
Pori,2018-04-01 00:42:29,2,passenger_car,93
Nakkila,2018-04-01 00:42:37,1,passenger_car,78
Karkkila,2018-04-01 00:42:41,1,"passenger_car, trailer",86
Nakkila,2018-04-01 00:43:04,1,passenger_car,79
Vihti,2018-04-01 00:43:06,1,passenger_car,107
Nakkila,2018-04-01 00:43:11,2,passenger_car,82
Nakkila,2018-04-01 00:43:21,1,passenger_car,80
Vihti,2018-04-01 00:43:25,1,passenger_car,79
Vihti,2018-04-01 00:43:29,1,passenger_car,78
Vihti,2018-04-01 00:43:31,2,passenger_car,99
Pori,2018-04-01 00:43:37,2,passenger_car,97
Nakkila,2018-04-01 00:43:44,1,passenger_car,85
Pori,2018-04-01 00:44:14,2,passenger_car,111
Pori,2018-04-01 00:44:24,1,passenger_car,92
Pori,2018-04-01 00:44:26,1,passenger_car,90
Nakkila,2018-04-01 00:44:26,2,passenger_car,84
Karkkila,2018-04-01 00:44:43,1,passenger_car,90
Nakkila,2018-04-01 00:44:52,1,passenger_car,75
Nakkila,2018-04-01 00:45:08,2,passenger_car,94
Pori,2018-04-01 00:45:15,1,passenger_car,99
Vihti,2018-04-01 00:45:22,1,passenger_car,96
Vihti,2018-04-01 00:45:27,1,passenger_car,102
Nakkila,2018-04-01 00:46:11,2,passenger_car,92
Nakkila,2018-04-01 00:46:16,1,passenger_car,89
Pori,2018-04-01 00:46:32,2,passenger_car,89
Pori,2018-04-01 00:46:34,1,passenger_car,101
Pori,2018-04-01 00:46:41,2,passenger_car,105
Pori,2018-04-01 00:46:44,1,passenger_car,99
Pori,2018-04-01 00:46:47,1,passenger_car,101
Nakkila,2018-04-01 00:47:00,2,passenger_car,75
Vihti,2018-04-01 00:47:03,1,passenger_car,97
Pori,2018-04-01 00:47:03,1,passenger_car,93
Pori,2018-04-01 00:47:07,2,passenger_car,110
Nakkila,2018-04-01 00:47:07,1,passenger_car,81
Pori,2018-04-01 00:47:12,1,passenger_car,96
Pori,2018-04-01 00:47:17,1,passenger_car,90
Pori,2018-04-01 00:47:46,2,passenger_car,106
